-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.080us         0.04%       6.080us       6.080us             1  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.09%      19.422us         0.14%      31.475us      31.475us       5.568us         0.03%       5.568us       5.568us             1  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us       5.568us         0.03%       5.568us       5.568us             1  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.06%      13.893us         0.09%      19.318us      19.318us       4.800us         0.03%       4.800us       4.800us             1  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us       4.800us         0.03%       4.800us       4.800us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.743us         0.02%       3.743us       1.871us             2  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.648us         0.02%       3.648us       0.405us             9  
                                             aten::div_         0.06%      12.703us         0.10%      22.869us      11.434us       3.552us         0.02%       3.552us       1.776us             2  
                                     triton_red_fused_1         0.05%      10.758us         0.08%      17.148us      17.148us       3.008us         0.02%       3.008us       3.008us             1  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us       3.008us         0.02%       3.008us       3.008us             1  
                                              aten::add         0.09%      19.538us         0.14%      31.478us      10.493us       2.688us         0.02%       2.688us       0.896us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.624us         0.02%       2.624us       2.624us             1  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.592us         0.02%       2.592us       2.592us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.920us         0.01%       1.920us       1.920us             1  
                                            aten::fill_         0.08%      17.937us         0.19%      43.822us       8.764us       1.696us         0.01%       1.696us       0.339us             5  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.632us         0.01%       1.632us       1.632us             1  
                                     aten::exponential_         0.04%       9.170us         0.08%      17.142us      17.142us       1.472us         0.01%       1.472us       1.472us             1  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       1.472us         0.01%       1.472us       1.472us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.440us         0.01%       1.440us       1.440us             1  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.248us         0.01%       1.248us       1.248us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.248us         0.01%       1.248us       1.248us             1  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       1.152us         0.01%       1.152us       1.152us             1  
                                              aten::sub         0.04%       9.243us         0.07%      15.402us      15.402us       1.088us         0.01%       1.088us       1.088us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.088us         0.01%       1.088us       1.088us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.864us         0.01%       0.864us       0.864us             1  
