-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aten::_softmax         0.03%       8.088us         0.05%      13.780us      13.780us      14.816us         0.15%      14.816us      14.816us             1  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      14.816us         0.15%      14.816us      14.816us             1  
                                            aten::index         0.16%      43.543us         0.33%      89.814us      44.907us      12.448us         0.13%      14.080us       7.040us             2  
                                           aten::argmax         0.05%      12.899us         0.07%      19.455us      19.455us      10.848us         0.11%      10.848us      10.848us             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      10.848us         0.11%      10.848us      10.848us             1  
triton_red_fused__to_copy_abs_clamp_cutlass_scaled_m...         0.08%      21.627us         0.12%      33.113us      33.113us       8.160us         0.08%       8.160us       8.160us             1  
triton_red_fused__to_copy_abs_clamp_cutlass_scaled_m...         0.00%       0.000us         0.00%       0.000us       0.000us       8.160us         0.08%       8.160us       8.160us             1  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.624us         0.07%       6.624us       6.624us             1  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.824us         0.06%       5.824us       5.824us             1  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2         0.05%      14.644us         0.08%      20.689us      20.689us       4.960us         0.05%       4.960us       4.960us             1  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2         0.00%       0.000us         0.00%       0.000us       0.000us       4.960us         0.05%       4.960us       4.960us             1  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.05%      14.363us         0.07%      20.132us      20.132us       4.864us         0.05%       4.864us       4.864us             1  
