-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     189.020us         0.07%     189.020us       1.477us           128  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     183.646us         0.06%     183.646us       1.435us           128  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     175.828us         0.06%     175.828us       1.374us           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     173.669us         0.06%     173.669us       1.357us           128  
                               cudaEventRecordWithFlags         0.11%     381.940us         0.11%     381.940us       1.492us     167.873us         0.06%     167.873us       0.656us           256  
                                        cudaGraphLaunch         6.86%      24.668ms         7.82%      28.118ms     219.673us     165.217us         0.06%     165.217us       1.291us           128  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     157.433us         0.06%     157.433us       1.230us           128  
                                              aten::sub         0.39%       1.384ms         0.60%       2.170ms      16.950us     136.886us         0.05%     136.886us       1.069us           128  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     136.886us         0.05%     136.886us       1.069us           128  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     111.208us         0.04%     111.208us       0.869us           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     108.131us         0.04%     108.131us       0.845us           128  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      86.456us         0.03%      86.456us       0.675us           128  
                                   cudaEventSynchronize        34.69%     124.671ms        82.19%     295.357ms       1.145ms      39.390us         0.01%      24.637ms      95.493us           258  
                                        cudaEventRecord         0.14%     501.629us         0.14%     501.629us       1.944us      25.182us         0.01%      25.182us       0.098us           258  
                                    cudaStreamWaitEvent         0.07%     250.234us         0.07%     250.557us       1.957us      18.913us         0.01%      18.913us       0.148us           128  
                                       cuLaunchKernelEx         0.23%     809.846us         0.23%     809.846us       6.327us      18.208us         0.01%      18.208us       0.142us           128  
                   execute_context_1(1)_generation_0(0)         0.25%     907.265us         0.96%       3.454ms       3.454ms       0.000us         0.00%     167.421us     167.421us             1  
                                Activity Buffer Request         2.29%       8.220ms         2.39%       8.590ms       1.718ms       0.000us         0.00%     204.160us      40.832us             5  
                                            aten::slice         3.34%      11.987ms         4.05%      14.551ms       2.639us       0.000us         0.00%     138.784us       0.025us          5513  
                                       aten::as_strided         0.88%       3.146ms         0.88%       3.146ms       0.491us       0.000us         0.00%       0.000us       0.000us          6408  
                                        cudaMemcpyAsync         2.75%       9.899ms         2.76%       9.901ms       7.027us       0.000us         0.00%       0.000us       0.000us          1409  
                                       aten::lift_fresh         0.02%      67.183us         0.02%      67.183us       0.262us       0.000us         0.00%       0.000us       0.000us           256  
                                          aten::flatten         0.11%     407.361us         0.21%     741.111us       5.790us       0.000us         0.00%       0.000us       0.000us           128  
                                             aten::view         0.24%     848.849us         0.24%     848.849us       1.658us       0.000us         0.00%       0.000us       0.000us           512  
                                     aten::index_select         0.10%     345.562us         0.10%     345.562us       2.700us       0.000us         0.00%       0.000us       0.000us           128  
                                           aten::detach         0.11%     402.317us         0.11%     402.317us       1.572us       0.000us         0.00%       0.000us       0.000us           256  
                                               aten::to         0.40%       1.451ms         5.06%      18.187ms      15.787us       0.000us         0.00%       1.011ms       0.877us          1152  
                                     aten::resolve_conj         0.02%      69.499us         0.02%      69.499us       0.271us       0.000us         0.00%       0.000us       0.000us           256  
                                      aten::resolve_neg         0.01%      41.728us         0.01%      41.728us       0.163us       0.000us         0.00%       0.000us       0.000us           256  
                                       cudaLaunchKernel         4.50%      16.175ms         4.50%      16.175ms       7.434us       0.000us         0.00%       0.000us       0.000us          2176  
                                          aten::reshape         0.10%     357.482us         0.20%     732.397us       2.861us       0.000us         0.00%       0.000us       0.000us           256  
                                         aten::_to_copy         0.80%       2.883ms         4.66%      16.736ms      26.150us       0.000us         0.00%       1.011ms       1.579us           640  
                                    aten::empty_strided         1.01%       3.631ms         1.24%       4.451ms       5.795us       0.000us         0.00%       0.000us       0.000us           768  
                                               aten::lt         0.15%     543.538us         0.15%     543.538us       4.246us       0.000us         0.00%       0.000us       0.000us           128  
                                           aten::linear         0.14%     494.001us         1.89%       6.801ms      53.130us       0.000us         0.00%      17.727ms     138.491us           128  
                                                aten::t         0.11%     400.026us         0.25%     905.599us       7.075us       0.000us         0.00%       0.000us       0.000us           128  
                                        aten::transpose         0.11%     391.729us         0.14%     505.573us       3.950us       0.000us         0.00%       0.000us       0.000us           128  
                                           aten::matmul         0.08%     288.470us         1.50%       5.401ms      42.195us       0.000us         0.00%      17.727ms     138.491us           128  
                                            aten::alias         0.05%     162.786us         0.05%     162.786us       1.272us       0.000us         0.00%       0.000us       0.000us           128  
                                        aten::unsqueeze         0.23%     809.365us         0.26%     941.568us       3.678us       0.000us         0.00%       0.000us       0.000us           256  
                                          aten::softmax         0.14%     502.086us         0.73%       2.613ms      20.411us       0.000us         0.00%       1.910ms      14.921us           128  
                                       aten::empty_like         0.08%     293.829us         0.19%     695.687us       5.435us       0.000us         0.00%       0.000us       0.000us           128  
                                         cudaEventQuery         0.23%     819.903us         0.23%     819.903us       3.360us       0.000us         0.00%       0.000us       0.000us           244  
                   execute_context_0(0)_generation_1(1)        30.65%     110.150ms        51.38%     184.633ms       1.454ms       0.000us         0.00%      15.324ms     120.661us           127  
                                           aten::select         0.13%     465.973us         0.14%     506.604us       3.989us       0.000us         0.00%       0.000us       0.000us           127  
                                           Buffer Flush         0.08%     300.443us         0.08%     300.443us     150.221us       0.000us         0.00%       0.000us       0.000us             2  
                   execute_context_0(0)_generation_0(0)         0.06%     206.674us         0.06%     212.875us     106.438us       0.000us         0.00%       0.000us       0.000us             2  
                                  cudaDeviceSynchronize         0.03%     100.652us         0.03%     100.652us     100.652us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 359.337ms
Self CUDA time total: 285.258ms

