-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     200.773us         0.09%     200.773us       1.569us           128  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us     193.535us         0.09%     193.535us       1.512us           128  
                                     aten::exponential_         0.49%       1.172ms         0.82%       1.947ms      15.211us     190.398us         0.09%     190.398us       1.487us           128  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     190.398us         0.09%     190.398us       1.487us           128  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     176.005us         0.08%     176.005us       1.375us           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     174.520us         0.08%     174.520us       1.363us           128  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     158.908us         0.07%     158.908us       1.241us           128  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     158.402us         0.07%     158.402us       1.238us           128  
                                    cudaStreamWaitEvent         0.10%     247.942us         0.10%     247.942us       1.937us     152.865us         0.07%     152.865us       1.194us           128  
                                       cuLaunchKernelEx         0.33%     782.472us         0.33%     782.472us       6.113us     152.352us         0.07%     152.352us       1.190us           128  
                                              aten::sub         0.61%       1.451ms         0.94%       2.231ms      17.427us     137.542us         0.06%     137.542us       1.075us           128  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     137.542us         0.06%     137.542us       1.075us           128  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     111.583us         0.05%     111.583us       0.872us           128  
                                  cudaStreamIsCapturing         0.32%     774.064us         0.32%     774.064us       0.431us      62.465us         0.03%      62.465us       0.035us          1794  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      58.054us         0.03%      58.054us       0.454us           128  
